msoa,income
E02000001,47200.0
E02000017,39300.0
E02000016,40800.0
E02000014,36600.0
E02000010,34400.0
E02006799,36100.0
E02000009,38400.0
E02000002,32200.0
E02000003,37800.0
E02000007,33400.0
E02000004,35300.0
E02000011,37100.0
E02000020,37500.0
E02000018,32600.0
E02000022,40200.0
E02000021,34600.0
E02000019,34500.0
E02000013,33800.0
E02000005,37800.0
E02000008,36800.0
E02000012,41800.0
E02000023,35500.0
E02000015,35700.0
E02000032,49400.0
E02000033,41600.0
E02000049,35500.0
E02000047,37600.0
E02000044,40800.0
E02000061,49200.0
E02000064,40300.0
E02000063,43400.0
E02000062,39100.0
E02000060,39700.0
E02006954,
E02000059,41600.0
E02000045,44100.0
E02000038,44000.0
E02000026,43200.0
E02000025,44100.0
E02000029,42600.0
E02000050,43300.0
E02000052,46300.0
E02000056,48300.0
E02000037,40600.0
E02000041,39800.0
E02000036,45200.0
E02000051,43900.0
E02000046,51400.0
E02000048,43700.0
E02000058,44700.0
E02000030,41400.0
E02000057,44600.0
E02000055,40900.0
E02000054,46500.0
E02000024,46300.0
E02000040,41500.0
E02000039,45200.0
E02000034,43500.0
E02000028,44900.0
E02000031,43500.0
E02000035,45700.0
E02000043,52000.0
E02000027,37200.0
E02000042,43300.0
E02000078,41400.0
E02000081,35000.0
E02000069,36800.0
E02000067,37100.0
E02000070,37300.0
E02000089,41600.0
E02000082,42700.0
E02000086,42500.0
E02000085,37800.0
E02000084,41500.0
E02000088,42700.0
E02000075,41400.0
E02000073,43700.0
E02000079,37300.0
E02000087,46900.0
E02000074,34800.0
E02000072,35600.0
E02000083,38500.0
E02000092,36100.0
E02000091,38200.0
E02000080,37000.0
E02006785,38800.0
E02000077,40600.0
E02000068,35600.0
E02000066,36300.0
E02000090,34600.0
E02000071,37900.0
E02000065,44800.0
E02000118,41300.0
E02000121,41500.0
E02000101,39500.0
E02000098,40300.0
E02000114,43800.0
E02000122,46100.0
E02000115,45400.0
E02000103,38700.0
E02000102,39300.0
E02000110,45500.0
E02000106,39100.0
E02000117,34400.0
E02000094,41000.0
E02000095,41500.0
E02000097,42500.0
E02000123,35000.0
E02000125,41900.0
E02000096,49200.0
E02000126,34700.0
E02000120,45100.0
E02000107,42300.0
E02000100,50900.0
E02000105,40000.0
E02000108,43100.0
E02000104,40700.0
E02000099,46000.0
E02000124,43400.0
E02000093,43300.0
E02000119,33000.0
E02000113,34600.0
E02000111,40200.0
E02006956,
E02000112,43500.0
E02000116,37800.0
E02000133,43300.0
E02000142,45200.0
E02000148,47600.0
E02000146,45300.0
E02000165,52900.0
E02006789,38300.0
E02000152,38700.0
E02000159,50100.0
E02000144,46800.0
E02000137,41400.0
E02000134,43000.0
E02000163,41400.0
E02000161,46200.0
E02000128,42000.0
E02000136,37300.0
E02000141,45300.0
E02000139,44900.0
E02006787,42000.0
E02000132,41300.0
E02000138,47000.0
E02000145,32600.0
E02000149,36000.0
E02000155,39800.0
E02000154,45000.0
E02000140,34200.0
E02000131,48000.0
E02000135,37100.0
E02000162,38700.0
E02000157,48500.0
E02000160,49600.0
E02000153,44700.0
E02000150,42200.0
E02000127,36500.0
E02000158,42200.0
E02000130,43000.0
E02000151,54000.0
E02006782,40900.0
E02000147,44600.0
E02000156,42200.0
E02000176,49600.0
E02000179,39800.0
E02000191,32500.0
E02007115,
E02000193,36100.0
E02000184,41100.0
E02000183,41400.0
E02000186,38300.0
E02000174,41800.0
E02000180,39900.0
E02000170,46100.0
E02000178,42200.0
E02000169,46300.0
E02000173,44800.0
E02000171,46200.0
E02000172,38700.0
E02000167,44600.0
E02000177,38700.0
E02000166,40500.0
E02000168,44800.0
E02000192,40500.0
E02000185,38800.0
E02000188,35400.0
E02000187,35500.0
E02000182,44900.0
E02000181,47000.0
E02000175,50900.0
E02000215,42500.0
E02000210,43500.0
E02000214,47200.0
E02000211,44500.0
E02006788,36400.0
E02000207,40900.0
E02000202,39800.0
E02000203,36400.0
E02000206,36000.0
E02000208,38100.0
E02000212,37200.0
E02000209,38200.0
E02000213,38900.0
E02000234,42000.0
E02000236,44000.0
E02000237,40200.0
E02000231,50600.0
E02000228,48700.0
E02000224,48600.0
E02006988,
E02000222,48500.0
E02000217,41600.0
E02000216,45600.0
E02000223,32300.0
E02000225,35300.0
E02000227,39600.0
E02000219,47900.0
E02000235,46800.0
E02000233,43700.0
E02000230,43700.0
E02000229,32400.0
E02000196,45100.0
E02000195,46100.0
E02000197,38500.0
E02000232,43000.0
E02000226,45900.0
E02000218,37000.0
E02000200,39700.0
E02000194,44300.0
E02000201,37400.0
E02000199,39200.0
E02000198,37000.0
E02000221,37300.0
E02000204,38800.0
E02000258,46200.0
E02000252,43900.0
E02000262,43600.0
E02000255,50900.0
E02000250,52000.0
E02000253,37300.0
E02000260,42100.0
E02000251,42900.0
E02000249,42400.0
E02000266,40500.0
E02006968,
E02000256,50900.0
E02000268,49800.0
E02000264,46200.0
E02006969,
E02000261,43800.0
E02000272,52800.0
E02000265,47000.0
E02000267,48400.0
E02000245,35700.0
E02000247,38100.0
E02000243,48500.0
E02000238,46700.0
E02000241,45900.0
E02000248,49700.0
E02000259,49800.0
E02000254,43300.0
E02000276,54900.0
E02000269,61900.0
E02000239,47700.0
E02000240,37700.0
E02000246,37500.0
E02000275,39900.0
E02000242,46200.0
E02000244,49200.0
E02000270,39600.0
E02000263,39100.0
E02006971,
E02006970,
E02006791,53900.0
E02000271,61600.0
E02000312,46200.0
E02000308,43500.0
E02000311,37700.0
E02000297,43500.0
E02000292,41800.0
E02000302,43200.0
E02000291,38900.0
E02000281,33500.0
E02000280,38200.0
E02000287,37300.0
E02000289,47500.0
E02000296,39400.0
E02000303,32700.0
E02000306,30800.0
E02000309,33600.0
E02000283,36600.0
E02000290,32100.0
E02000282,31800.0
E02000288,36600.0
E02000278,32500.0
E02000277,36500.0
E02000279,34700.0
E02000293,48200.0
E02000298,49700.0
E02000286,38200.0
E02006793,33500.0
E02000300,34700.0
E02000307,35500.0
E02000284,40500.0
E02000294,34600.0
E02000299,33700.0
E02000301,32100.0
E02000305,47700.0
E02000295,48200.0
E02000304,49700.0
E02000285,46600.0
E02000320,40500.0
E02000315,33300.0
E02000333,46400.0
E02000328,45300.0
E02000324,37600.0
E02000326,46700.0
E02000344,40200.0
E02000343,38700.0
E02000339,42000.0
E02000335,42500.0
E02000340,43800.0
E02000342,35100.0
E02000337,39300.0
E02000321,39200.0
E02000319,43800.0
E02006931,49300.0
E02000334,40000.0
E02000331,42500.0
E02000341,37100.0
E02006927,40800.0
E02006930,51200.0
E02006993,
E02006786,42000.0
E02000318,38900.0
E02000329,40000.0
E02000332,48500.0
E02000314,42500.0
E02000313,39700.0
E02000323,37900.0
E02000327,38600.0
E02000317,37500.0
E02006994,
E02000346,38600.0
E02000351,51600.0
E02006921,35200.0
E02000350,43800.0
E02000348,36300.0
E02000363,36200.0
E02000361,45900.0
E02000359,41900.0
E02000356,49300.0
E02000358,45500.0
E02000353,49500.0
E02000352,41600.0
E02007109,
E02000360,37600.0
E02000364,44700.0
E02000369,43400.0
E02007108,
E02000354,39000.0
E02000368,39200.0
E02007111,
E02007110,
E02000370,43400.0
E02000357,33700.0
E02000355,42000.0
E02006918,38200.0
E02000347,36700.0
E02000345,34100.0
E02000366,37100.0
E02000367,48900.0
E02000362,39800.0
E02000381,45100.0
E02000378,47800.0
E02000377,41800.0
E02000379,45600.0
E02000376,45900.0
E02000383,48000.0
E02000372,38100.0
E02000390,46900.0
E02000388,45900.0
E02000386,41900.0
E02000387,46000.0
E02000389,48700.0
E02000385,48500.0
E02000384,36700.0
E02000380,48900.0
E02000393,57300.0
E02000395,54100.0
E02000391,44900.0
E02000396,46900.0
E02000382,46500.0
E02000394,39900.0
E02000375,43000.0
E02000392,53500.0
E02000374,43700.0
E02000373,36100.0
E02000400,46900.0
E02000405,50900.0
E02000410,49000.0
E02000397,44700.0
E02000407,35900.0
E02000414,42500.0
E02000429,51500.0
E02000430,49800.0
E02000413,46300.0
E02000426,44200.0
E02000419,48200.0
E02000427,49000.0
E02000431,50500.0
E02000418,48100.0
E02000416,44200.0
E02000424,46800.0
E02000417,53000.0
E02000412,39900.0
E02000406,39500.0
E02006794,32400.0
E02000398,31900.0
E02000423,46500.0
E02000422,39200.0
E02000425,37000.0
E02000428,40300.0
E02000432,48400.0
E02000421,35400.0
E02000420,38900.0
E02000408,33400.0
E02000411,37000.0
E02000409,36600.0
E02000415,42600.0
E02000401,35400.0
E02000402,31900.0
E02000403,45000.0
E02000404,38300.0
E02000440,51300.0
E02000444,49700.0
E02000433,39800.0
E02000434,45400.0
