MSOA21CD,MSOA21NM
E02001827,Birmingham 001
E02001832,Birmingham 006
E02001839,Birmingham 013
E02001841,Birmingham 015
E02001842,Birmingham 016
E02001849,Birmingham 023
E02001855,Birmingham 029
E02001856,Birmingham 030
E02001867,Birmingham 041
E02001868,Birmingham 042
E02001869,Birmingham 043
E02001874,Birmingham 048
E02001878,Birmingham 052
E02001884,Birmingham 058
E02001888,Birmingham 062
E02001892,Birmingham 066
E02001893,Birmingham 067
E02001898,Birmingham 072
E02001900,Birmingham 074
E02001903,Birmingham 077
E02001905,Birmingham 079
E02001906,Birmingham 080
E02001908,Birmingham 082
E02001911,Birmingham 085
E02001913,Birmingham 087
E02001915,Birmingham 089
E02001918,Birmingham 092
E02001923,Birmingham 097
E02001925,Birmingham 099
E02001928,Birmingham 102
E02001930,Birmingham 104
E02001932,Birmingham 106
E02001933,Birmingham 107
E02001939,Birmingham 113
E02001945,Birmingham 119
E02001947,Birmingham 121
E02001952,Birmingham 126
E02001953,Birmingham 127
E02001954,Birmingham 128
E02001955,Birmingham 129
E02001957,Birmingham 131
E02006809,Birmingham 133
E02006896,Birmingham 135
E02001828,Birmingham 002
E02001830,Birmingham 004
E02001831,Birmingham 005
E02001833,Birmingham 007
E02001834,Birmingham 008
E02001836,Birmingham 010
E02001840,Birmingham 014
E02001846,Birmingham 020
E02001857,Birmingham 031
E02001862,Birmingham 036
E02001865,Birmingham 039
E02001872,Birmingham 046
E02001873,Birmingham 047
E02001875,Birmingham 049
E02001881,Birmingham 055
E02001882,Birmingham 056
E02001889,Birmingham 063
E02001897,Birmingham 071
E02001899,Birmingham 073
E02001902,Birmingham 076
E02001907,Birmingham 081
E02001909,Birmingham 083
E02001914,Birmingham 088
E02001919,Birmingham 093
E02001920,Birmingham 094
E02001924,Birmingham 098
E02001926,Birmingham 100
E02001941,Birmingham 115
E02001949,Birmingham 123
E02001956,Birmingham 130
E02006897,Birmingham 136
E02006898,Birmingham 137
E02006899,Birmingham 138
E02007038,Birmingham 141
E02007040,Birmingham 143
E02001829,Birmingham 003
E02001835,Birmingham 009
E02001837,Birmingham 011
E02001838,Birmingham 012
E02001843,Birmingham 017
E02001844,Birmingham 018
E02001845,Birmingham 019
E02001847,Birmingham 021
E02001848,Birmingham 022
E02001850,Birmingham 024
E02001851,Birmingham 025
E02001852,Birmingham 026
E02001858,Birmingham 032
E02001859,Birmingham 033
E02001860,Birmingham 034
E02001861,Birmingham 035
E02001863,Birmingham 037
E02001866,Birmingham 040
E02001870,Birmingham 044
E02001871,Birmingham 045
E02001876,Birmingham 050
E02001877,Birmingham 051
E02001879,Birmingham 053
E02001880,Birmingham 054
E02001883,Birmingham 057
E02001886,Birmingham 060
E02001890,Birmingham 064
E02001895,Birmingham 069
E02001896,Birmingham 070
E02001901,Birmingham 075
E02001904,Birmingham 078
E02001910,Birmingham 084
E02001916,Birmingham 090
E02001921,Birmingham 095
E02001922,Birmingham 096
E02001927,Birmingham 101
E02001929,Birmingham 103
E02001931,Birmingham 105
E02001934,Birmingham 108
E02001935,Birmingham 109
E02001936,Birmingham 110
E02001937,Birmingham 111
E02001938,Birmingham 112
E02001942,Birmingham 116
E02001943,Birmingham 117
E02001944,Birmingham 118
E02001946,Birmingham 120
E02001948,Birmingham 122
E02001950,Birmingham 124
E02001951,Birmingham 125
E02006807,Birmingham 132
E02006895,Birmingham 134
E02006900,Birmingham 139
E02007039,Birmingham 142
