msoa,ScoreCQI,crash_rate,commute_rate,OverallCycleScore,ScoreCQIMean,index_length,index_space_syntax,index_space_syntax_length,commute_path
E02001827,0.5952380952380952,0,0.5,0.36309523809523814,36.13095238095238,37.84395000818294,0.188358809273219,0.2017609608836227,0.0
E02001832,10.38961038961039,0,0.9,4.380844155844156,38.422077922077925,42.083302165927805,0.1968808859145648,0.2147135351942392,0.1817116479942806
E02001839,3.65296803652968,1,0.8,2.011187214611872,30.022831050228312,33.37132435143346,0.1914390231202137,0.1932407542959616,0.0
E02001841,1.058201058201058,3,0.9,1.6982804232804232,36.02590673575129,36.572359534292914,0.1826493043242365,0.1882497734322367,0.2252692826748101
E02001842,12.12121212121212,1,0.8,5.3984848484848476,25.956521739130434,29.799853220886963,0.2086540984493035,0.1668487790001121,0.0
E02001849,0.0,0,1.7,0.425,31.792,34.32706592035876,0.2116217590570034,0.2128558204222902,0.0
E02001855,11.248073959938369,0,2.8,5.199229583975348,38.36161335187761,40.104397503026355,0.1872541651251356,0.202719991566343,0.322765235861608
E02001856,11.155378486055776,2,1.3,5.487151394422311,36.05577689243028,35.102029598420685,0.2072266600556016,0.1972336149820109,0.0
E02001867,2.3923444976076556,1,0.6,1.4569377990430623,33.36363636363637,34.35148734453142,0.2126491174800489,0.1989974910653808,0.0
E02001868,1.5267175572519085,0,0.4,0.7106870229007635,32.19083969465649,38.63033079028538,0.2288390424553281,0.2370503425659939,0.0
E02001869,13.035714285714286,0,1.7,5.639285714285715,33.451298701298704,35.15786058102225,0.2254876342821251,0.221353026915686,0.0
E02001874,5.755395683453238,0,0.8,2.5021582733812955,35.17687074829932,38.84165323381735,0.2080010577260285,0.2245348946294042,0.0
E02001878,5.434782608695652,0,0.6,2.323913043478261,35.54676258992806,38.21426722205898,0.195098148459283,0.1983222055385084,0.2268329926027459
E02001884,0.7462686567164178,0,0.9,0.5235074626865671,36.51470588235294,37.418756575984936,0.2382672846041497,0.2446105350754839,0.0
E02001888,5.384615384615385,2,1.2,3.153846153846154,40.65441176470589,41.71211355146935,0.2816624586539535,0.2525960232651534,0.0
E02001892,3.4482758620689653,2,1.1,2.354310344827586,33.644444444444446,37.36258478376555,0.1841316971795461,0.1877285798870522,0.3315051839596289
E02001893,5.113636363636364,1,1.0,2.645454545454546,35.71052631578947,39.59890404495432,0.2188077093830641,0.2383415289223645,0.2669925141396113
E02001898,0.0,1,0.8,0.55,33.517857142857146,36.127148062510535,0.2151426935832061,0.2030552576878416,0.0
E02001900,6.951871657754011,1,2.4,3.730748663101605,36.16230366492147,36.79075178075324,0.2284994146633471,0.2275530015272004,0.0
E02001903,0.7633587786259541,0,1.5,0.6803435114503817,31.248175182481752,37.05523258728753,0.2138595421647202,0.2251006230777342,0.0
E02001905,8.81294964028777,2,2.4,4.825179856115108,32.09310344827586,34.324883507927595,0.1867931974187636,0.1999628118337537,0.0
E02001906,3.875968992248062,2,0.8,2.450387596899225,32.23076923076923,35.66838400199268,0.2179458908701294,0.220310420627194,0.0
E02001908,9.183673469387756,5,1.4,5.773469387755102,31.29245283018868,37.69697303635301,0.2754391189167264,0.2463101668446431,0.0
E02001911,5.641025641025641,2,1.9,3.431410256410257,34.85128205128205,36.83466118933408,0.2323617643897473,0.2321833825606422,0.0
E02001913,7.281553398058252,2,2.0,4.112621359223301,34.26303317535545,35.530830210001774,0.1960720687524401,0.1896983400625891,0.4085255249380354
E02001915,5.2356020942408374,6,1.8,4.644240837696335,33.43717277486911,37.11720273678169,0.1973475015150237,0.2008005693525505,0.0
E02001918,4.27807486631016,2,2.9,3.1362299465240637,30.807881773399014,36.246279473763884,0.2398185740969511,0.2285999646220985,0.0
E02001923,6.030150753768844,1,1.0,3.0120603015075376,33.618090452261306,37.157536734114736,0.2595603330368464,0.2376324887764877,0.0
E02001925,5.413105413105413,1,2.2,3.0652421652421658,28.2,32.41482213281528,0.1608731842058819,0.1612712818106873,0.2961203954200131
E02001928,0.0,0,0.6,0.15,39.8125,41.19357025114753,0.2285365530811764,0.21541253202975,0.0
