MSOA21CD,MSOA21NM
E02002330,Leeds 001
E02002331,Leeds 002
E02002332,Leeds 003
E02002333,Leeds 004
E02002334,Leeds 005
E02002335,Leeds 006
E02002336,Leeds 007
E02002337,Leeds 008
E02002338,Leeds 009
E02002339,Leeds 010
E02002340,Leeds 011
E02002341,Leeds 012
E02002342,Leeds 013
E02002343,Leeds 014
E02002344,Leeds 015
E02002345,Leeds 016
E02002346,Leeds 017
E02002347,Leeds 018
E02002348,Leeds 019
E02002349,Leeds 020
E02002350,Leeds 021
E02002351,Leeds 022
E02002352,Leeds 023
E02002353,Leeds 024
E02002354,Leeds 025
E02002356,Leeds 027
E02002357,Leeds 028
E02002358,Leeds 029
E02002359,Leeds 030
E02002360,Leeds 031
E02002361,Leeds 032
E02002362,Leeds 033
E02002363,Leeds 034
E02002364,Leeds 035
E02002366,Leeds 037
E02002367,Leeds 038
E02002368,Leeds 039
E02002369,Leeds 040
E02002370,Leeds 041
E02002371,Leeds 042
E02002373,Leeds 044
E02002374,Leeds 045
E02002375,Leeds 046
E02002376,Leeds 047
E02002377,Leeds 048
E02002379,Leeds 050
E02002380,Leeds 051
E02002381,Leeds 052
E02002382,Leeds 053
E02002383,Leeds 054
E02002384,Leeds 055
E02002385,Leeds 056
E02002386,Leeds 057
E02002387,Leeds 058
E02002388,Leeds 059
E02002389,Leeds 060
E02002390,Leeds 061
E02002391,Leeds 062
E02002392,Leeds 063
E02002393,Leeds 064
E02002394,Leeds 065
E02002395,Leeds 066
E02002396,Leeds 067
E02002397,Leeds 068
E02002398,Leeds 069
E02002399,Leeds 070
E02002400,Leeds 071
E02002401,Leeds 072
E02002402,Leeds 073
E02002403,Leeds 074
E02002404,Leeds 075
E02002405,Leeds 076
E02002406,Leeds 077
E02002407,Leeds 078
E02002408,Leeds 079
E02002409,Leeds 080
E02002410,Leeds 081
E02002411,Leeds 082
E02002412,Leeds 083
E02002414,Leeds 085
E02002415,Leeds 086
E02002416,Leeds 087
E02002417,Leeds 088
E02002418,Leeds 089
E02002419,Leeds 090
E02002420,Leeds 091
E02002421,Leeds 092
E02002422,Leeds 093
E02002423,Leeds 094
E02002424,Leeds 095
E02002425,Leeds 096
E02002426,Leeds 097
E02002427,Leeds 098
E02002428,Leeds 099
E02002429,Leeds 100
E02002430,Leeds 101
E02002431,Leeds 102
E02002432,Leeds 103
E02002433,Leeds 104
E02002434,Leeds 105
E02002435,Leeds 106
E02002436,Leeds 107
E02002437,Leeds 108
E02006852,Leeds 109
E02006861,Leeds 110
E02006875,Leeds 111
E02006876,Leeds 112
