msoa,ScoreCQI,crash_rate,commute_rate,OverallCycleScore,ScoreCQIMean,index_length,index_space_syntax,index_space_syntax_length,commute_path
E02002330,1.7676767676767675,0,0.8,0.9070707070707071,36.32575757575758,40.04044176626054,0.18031224330764,0.1928945282304328,0.0
E02002331,5.308056872037914,3,1.2,3.4732227488151657,29.599052132701424,30.78015193828916,0.1964326601849649,0.203509516326713,0.8292808089114291
E02002332,4.980842911877394,3,1.2,3.3423371647509574,37.26053639846743,36.82581478259254,0.2540889104431876,0.2533808199407548,0.0
E02002333,7.658321060382916,1,1.2,3.7133284241531666,31.670103092783503,30.615755248457912,0.1605004527963225,0.145483809710322,1.0397729259302153
E02002334,1.9900497512437811,0,0.7,0.9710199004975124,30.74712643678161,29.311337011270215,0.2362852077133601,0.2289131084532711,0.8214845249559968
E02002335,3.023758099352052,1,0.7,1.7345032397408207,32.508639308855294,32.44991631095996,0.2026592436640685,0.2107249996973452,0.0
E02002336,4.102564102564102,0,1.0,1.891025641025641,29.17302798982188,29.454115787663085,0.1774587241982742,0.1868331656937221,0.0
E02002337,3.816793893129771,2,0.9,2.4517175572519085,31.857142857142858,32.47056051801353,0.1625368613877742,0.16513071743385,0.0
E02002338,3.949447077409163,1,0.9,2.1547788309636653,33.517433751743376,35.279251049299276,0.2804301208691304,0.2471615440201037,0.8024584522907907
E02002339,6.666666666666667,2,1.3,3.6916666666666673,35.70949720670391,35.81354910761441,0.19732846451446,0.1901605169518171,0.8674644121943842
E02002340,4.0,2,1.3,2.625,34.403636363636366,35.25541776147525,0.207396843886441,0.2088682344154274,1.0698057502734488
E02002341,5.970149253731343,2,0.8,3.2880597014925375,36.85572139303483,38.618147479418475,0.2363202899672342,0.2545117725581335,0.0
E02002342,0.0,0,0.7,0.175,35.24698795180723,38.40081058481506,0.2342614835585951,0.2732551096658151,0.0
E02002343,5.902777777777778,1,0.9,2.9361111111111113,34.53793103448276,35.92815230147205,0.2356750049953357,0.237806928712062,0.0
E02002344,0.7782101167315175,1,0.6,0.811284046692607,34.80544747081712,36.786360253380685,0.3010253788366967,0.2917343118926417,0.0
E02002345,0.9433962264150944,4,1.2,2.077358490566038,36.83647798742138,35.94295972311863,0.2882580343941696,0.2800120055275549,0.0
E02002346,4.705882352941177,2,0.5,2.707352941176471,38.84705882352941,42.044981197454845,0.2302875734077125,0.2538639089553419,0.0
