MSOA21CD,MSOA21NM
E02001347,Liverpool 001
E02001348,Liverpool 002
E02001349,Liverpool 003
E02001350,Liverpool 004
E02001351,Liverpool 005
E02001352,Liverpool 006
E02001353,Liverpool 007
E02001354,Liverpool 008
E02001355,Liverpool 009
E02001356,Liverpool 010
E02001357,Liverpool 011
E02001358,Liverpool 012
E02001359,Liverpool 013
E02001360,Liverpool 014
E02001361,Liverpool 015
E02001362,Liverpool 016
E02001363,Liverpool 017
E02001364,Liverpool 018
E02001365,Liverpool 019
E02001366,Liverpool 020
E02001367,Liverpool 021
E02001368,Liverpool 022
E02001369,Liverpool 023
E02001370,Liverpool 024
E02001371,Liverpool 025
E02001372,Liverpool 026
E02001373,Liverpool 027
E02001374,Liverpool 028
E02001375,Liverpool 029
E02001376,Liverpool 030
E02001377,Liverpool 031
E02001378,Liverpool 032
E02001380,Liverpool 034
E02001381,Liverpool 035
E02001382,Liverpool 036
E02001383,Liverpool 037
E02001384,Liverpool 038
E02001385,Liverpool 039
E02001386,Liverpool 040
E02001387,Liverpool 041
E02001388,Liverpool 042
E02001389,Liverpool 043
E02001390,Liverpool 044
E02001391,Liverpool 045
E02001392,Liverpool 046
E02001393,Liverpool 047
E02001394,Liverpool 048
E02001395,Liverpool 049
E02001396,Liverpool 050
E02001397,Liverpool 051
E02001398,Liverpool 052
E02001399,Liverpool 053
E02001400,Liverpool 054
E02001401,Liverpool 055
E02001402,Liverpool 056
E02001403,Liverpool 057
E02001404,Liverpool 058
E02001405,Liverpool 059
E02006932,Liverpool 060
E02006933,Liverpool 061
E02006934,Liverpool 062
E02001467,Wirral 001
E02001468,Wirral 002
E02001469,Wirral 003
E02001470,Wirral 004
E02001471,Wirral 005
E02001472,Wirral 006
E02001473,Wirral 007
E02001474,Wirral 008
E02001475,Wirral 009
E02001476,Wirral 010
E02001477,Wirral 011
E02001478,Wirral 012
E02001479,Wirral 013
E02001480,Wirral 014
E02001481,Wirral 015
E02001482,Wirral 016
E02001483,Wirral 017
E02001484,Wirral 018
E02001485,Wirral 019
E02001486,Wirral 020
E02001487,Wirral 021
E02001488,Wirral 022
E02001489,Wirral 023
E02001490,Wirral 024
E02001491,Wirral 025
E02001492,Wirral 026
E02001493,Wirral 027
E02001494,Wirral 028
E02001495,Wirral 029
E02001496,Wirral 030
E02001497,Wirral 031
E02001498,Wirral 032
E02001499,Wirral 033
E02001500,Wirral 034
E02001501,Wirral 035
E02001502,Wirral 036
E02001503,Wirral 037
E02001504,Wirral 038
E02001505,Wirral 039
E02001506,Wirral 040
E02001507,Wirral 041
E02001508,Wirral 042
