MSOA21CD,MSOA21NM
E02001611,Sheffield 001
E02001612,Sheffield 002
E02001613,Sheffield 003
E02001614,Sheffield 004
E02001615,Sheffield 005
E02001616,Sheffield 006
E02001617,Sheffield 007
E02001618,Sheffield 008
E02001619,Sheffield 009
E02001620,Sheffield 010
E02001621,Sheffield 011
E02001622,Sheffield 012
E02001623,Sheffield 013
E02001624,Sheffield 014
E02001625,Sheffield 015
E02001626,Sheffield 016
E02001627,Sheffield 017
E02001628,Sheffield 018
E02001629,Sheffield 019
E02001630,Sheffield 020
E02001631,Sheffield 021
E02001632,Sheffield 022
E02001633,Sheffield 023
E02001634,Sheffield 024
E02001635,Sheffield 025
E02001636,Sheffield 026
E02001637,Sheffield 027
E02001638,Sheffield 028
E02001639,Sheffield 029
E02001640,Sheffield 030
E02001642,Sheffield 032
E02001643,Sheffield 033
E02001646,Sheffield 036
E02001647,Sheffield 037
E02001648,Sheffield 038
E02001649,Sheffield 039
E02001650,Sheffield 040
E02001651,Sheffield 041
E02001652,Sheffield 042
E02001653,Sheffield 043
E02001654,Sheffield 044
E02001655,Sheffield 045
E02001656,Sheffield 046
E02001657,Sheffield 047
E02001658,Sheffield 048
E02001659,Sheffield 049
E02001660,Sheffield 050
E02001661,Sheffield 051
E02001662,Sheffield 052
E02001663,Sheffield 053
E02001664,Sheffield 054
E02001665,Sheffield 055
E02001666,Sheffield 056
E02001669,Sheffield 059
E02001670,Sheffield 060
E02001671,Sheffield 061
E02001672,Sheffield 062
E02001673,Sheffield 063
E02001674,Sheffield 064
E02001675,Sheffield 065
E02001676,Sheffield 066
E02001678,Sheffield 068
E02001679,Sheffield 069
E02001680,Sheffield 070
E02001681,Sheffield 071
E02006803,Sheffield 072
E02006843,Sheffield 073
E02006844,Sheffield 074
E02006868,Sheffield 075
E02006869,Sheffield 076
